"month_num","no_rides","average_geographical_distance_km","time_difference"
1,7479,1.0437759058697687,"00:14:36.584436"
2,8250,1.0658909090909091,"00:23:44.628363"
3,13499,1.11317875398177642788,"00:33:41.925846"
4,16311,1.10689105511617926553,"00:15:12.16026"
5,19480,1.1154928131416838,"00:13:38.809599"
6,23943,1.16066073591446351752,"00:14:14.532807"
7,24430,1.11753172329103561195,"00:13:39.579943"
8,34095,1.06853204282152808330,"00:13:15.880335"
9,33300,1.04117717717717717718,"00:14:10.302252"
10,29561,1.0381516186867833,"00:11:12.044552"
11,21783,1.01494284533810769866,"00:13:45.780747"
12,15073,0.98007695880050421283,"00:09:35.512108"
